Name,Surname,Student ID,GPA,Department,Enrollment Year,Date of Birth
Vickie,Johnson,2741784483,3.28,Agricultural Engineering,2012,1959-03-10
Keith,Adams,2277384973,1.64,Agricultural Engineering,2010,1991-06-10
Ricky,Martinez,1195456488,2.07,Agricultural Engineering,2010,1955-12-14
Angel,Harvey,1473264778,2.22,Agricultural Engineering,2018,1969-06-15
Jeremy,Lee,2667692288,1.27,Agricultural Engineering,2022,1960-08-21
Chelsey,Riley,1981822286,2.01,Agricultural Engineering,2013,2005-12-08
Danielle,Spencer,2984630491,1.68,Agricultural Engineering,2010,1972-09-16
Amber,Rice,2773137292,1.05,Agricultural Engineering,2017,2005-12-21
Alexander,Brock,2039306372,3.32,Agricultural Engineering,2018,2004-02-16
Darryl,Aguilar,2688926260,3.4,Agricultural Engineering,2016,1985-03-04
Sharon,Roberts,2164534634,2.98,Agricultural Engineering,2015,1990-07-28
Isabel,Moore,1495370826,3.98,Agricultural Engineering,2022,1956-01-15
Brittany,Tucker,2185063277,2.12,Agricultural Engineering,2018,2003-12-02
Mary,Brown,1674155416,3.43,Agricultural Engineering,2021,1952-08-27
Jesse,Becker,2927351071,3.22,Agricultural Engineering,2021,2002-01-07
Julie,Hernandez,2587013677,2.85,Agricultural Engineering,2015,1969-01-19
Lindsay,Lee,2207461969,1.41,Agricultural Engineering,2021,1981-11-12
Cynthia,Edwards,1931291046,3.5,Agricultural Engineering,2016,1983-08-15
Denise,Lewis,1944925428,2.52,Agricultural Engineering,2021,1960-11-09
David,Johnson,1533869681,3.59,Agricultural Engineering,2011,1955-11-26
Billy,Carter,2036981463,3.6,Agricultural Engineering,2016,1987-12-12
Sarah,Schneider,2180062476,1.41,Agricultural Engineering,2022,1983-05-06
Nancy,Brock,1760176026,3.52,Agricultural Engineering,2016,1999-12-01
Angie,Williams,2935036724,1.92,Agricultural Engineering,2011,1965-07-18
Julie,Roberts,1290613730,3.83,Agricultural Engineering,2011,1987-11-14
Kyle,Brown,1782350742,2.27,Agricultural Engineering,2013,1986-05-26
Jorge,Anderson,2710284727,3.36,Agricultural Engineering,2018,1965-08-28
Harold,Warren,2696751080,1.41,Agricultural Engineering,2019,1983-09-01
Stephen,Caldwell,1287075587,2.88,Agricultural Engineering,2016,1966-03-26
Jamie,Bray,1144705474,1.14,Agricultural Engineering,2019,1961-09-03
Susan,Gomez,2636719542,2.36,Agricultural Engineering,2011,1996-02-14
Scott,Carlson,2464075310,1.95,Agricultural Engineering,2014,1963-07-02
Margaret,Taylor,1628647092,1.67,Agricultural Engineering,2021,1978-08-18
Thomas,Moore,1512217300,3.27,Agricultural Engineering,2013,1989-10-20
Tonya,Lee,1115637664,3.16,Agricultural Engineering,2020,2005-11-18
Laura,Rogers,1277317790,3.91,Agricultural Engineering,2021,1965-08-03
Kimberly,Cruz,1927052259,3.19,Agricultural Engineering,2013,1964-05-02
Troy,Olsen,2336632071,2.33,Agricultural Engineering,2021,1969-02-06
Heather,Stevenson,1183312107,2.83,Agricultural Engineering,2014,1995-03-05
Jeffery,Johnson,1666121950,1.76,Agricultural Engineering,2012,1950-09-28
Luke,Marshall,2504839336,2.94,Agricultural Engineering,2017,1998-07-25
Stephen,Wood,2689595214,3.65,Agricultural Engineering,2022,1968-03-13
Terri,Thomas,1522559412,3.59,Agricultural Engineering,2012,1972-07-04
Nathan,Mcmillan,1924188831,2.27,Agricultural Engineering,2011,1997-08-15
