Name,Surname,Student ID,GPA,Department,Enrollment Year,Date of Birth
Rebecca,Townsend,1043813398,1.0,Mathematics,2021,1991-11-13
Christina,Nguyen,2191251933,1.0,Mechanical Engineering,2014,1987-11-01
Gabriella,Guerra,2990122015,1.0,Environmental Engineering,2010,1984-07-22
Scott,Aguilar,1685611374,1.0,Mathematics,2015,1980-09-15
Emily,Lewis,2810534930,1.0,Mechanical Engineering,2015,1996-07-24
Daniel,Thompson,1661130538,1.0,Chemical Engineering,2020,1955-01-07
Madeline,Hardin,1651624271,1.0,Law,2019,2003-01-10
Katie,Harris,1182872471,1.0,History,2021,1992-03-26
Tyler,Mcdaniel,2660481699,1.0,Civil Engineering,2015,1959-11-18
David,Rich,1807010344,1.0,Architecture,2013,1952-09-25
Erin,Davis,2886008886,1.0,Mechanical Engineering,2019,1957-12-22
Audrey,Manning,2874131340,1.0,Psychology,2011,1972-05-20
Paula,Phelps,2164633315,1.0,Literature,2014,1962-10-02
Ian,Merritt,2131191214,1.0,Electrical and Electronics Engineering,2016,2005-02-12
Sarah,Aguirre,1503009176,1.01,Sociology,2011,1979-02-22
Betty,Flores,2419866556,1.01,Law,2015,1991-02-26
Joel,Carlson,2082725093,1.01,History,2012,2001-08-20
Brittany,Salas,2761240209,1.01,Tourism,2010,2004-05-23
Andrea,Barnett,2512030960,1.01,Electrical and Electronics Engineering,2011,1974-11-20
Pamela,Martinez,2113317514,1.01,Mechanical Engineering,2010,1992-03-11
Roger,Cox,2854177985,1.01,Tourism,2018,1991-05-19
Donald,Ramos,2879221841,1.01,Civil Engineering,2012,1961-12-12
Chelsea,Jackson,2431521476,1.01,Mechanical Engineering,2018,1965-04-04
Michael,Espinoza,1958273162,1.01,Tourism,2017,1972-08-20
Brett,Berger,1333096500,1.01,Mathematics,2020,1957-07-13
Michael,Rice,2970564113,1.01,History,2012,1975-07-10
Lisa,Fernandez,2163967442,1.01,Physics,2011,1955-06-05
Paul,Webb,1847242288,1.01,Food Engineering,2013,1990-10-05
Amber,Miller,1789392917,1.01,Sociology,2020,1958-08-04
Tonya,Daniels,2781248614,1.01,Literature,2016,1989-08-11
Laura,Adams,1191366600,1.01,Tourism,2010,1958-03-21
Brenda,Sawyer,1290494159,1.01,Maritime Studies,2011,1960-05-18
Adriana,Hobbs,2211833101,1.01,History,2010,1986-07-13
Megan,Hernandez,2759786570,1.01,Law,2014,1961-10-23
Julie,Walter,1547984952,1.01,Agricultural Engineering,2017,1961-08-19
Kristen,Clark,2968930460,1.01,Chemistry,2016,1961-10-22
Robert,Love,2915166568,1.01,Architecture,2011,1955-12-19
Laura,Logan,2558992717,1.01,Mechanical Engineering,2021,1996-06-10
Debra,Meyer,1805263347,1.01,Psychology,2018,1968-02-22
Ryan,Hancock,1466372729,1.01,History,2015,1962-09-21
Brian,Peterson,1875238547,1.01,Psychology,2022,1974-12-22
Eddie,Barrett,2966773979,1.01,Chemistry,2012,1987-03-25
Steven,Macdonald,1274523099,1.01,Architecture,2014,1995-11-08
Marc,Merritt,1467420055,1.01,Computer Engineering,2022,1999-02-25
Nicholas,Melton,1771408748,1.01,Environmental Engineering,2010,1966-12-07
Raymond,Jones,2550273108,1.01,Industrial Engineering,2017,1950-03-21
Vanessa,Castaneda,2273871669,1.01,Industrial Engineering,2020,1956-11-07
William,Gardner,2867707426,1.01,Tourism,2021,1991-09-27
Melissa,Patton,1470923973,1.01,Electrical and Electronics Engineering,2011,1964-03-19
Daniel,Diaz,1122398437,1.01,Computer Engineering,2019,1981-07-20
Meagan,Washington,2816845709,1.01,Literature,2016,1955-08-04
Mackenzie,Webb,1448649390,1.02,Electrical and Electronics Engineering,2019,1977-06-08
Michael,Rhodes,2863101358,1.02,Biology,2013,1981-11-06
Michael,Benson,2466670928,1.02,Civil Engineering,2011,1956-07-23
