Name,Surname,Student ID,GPA,Department,Enrollment Year,Date of Birth
Alexander,Arias,2316910883,3.88,Physics,2020,2005-12-27
Lori,Miles,2595616714,1.49,Chemical Engineering,2017,2005-12-26
Ronald,Washington,2443076672,2.49,Physics,2014,2005-12-24
Renee,Warren,2536750453,3.18,Chemical Engineering,2015,2005-12-24
Kyle,Ray,2789754712,3.72,Chemistry,2018,2005-12-22
Lynn,Martin,2638022721,3.61,Environmental Engineering,2011,2005-12-22
Amber,Rice,2773137292,1.05,Agricultural Engineering,2017,2005-12-21
Shelby,Moody,1067170472,1.6,Biology,2021,2005-12-19
Katie,Bailey,2811911309,3.24,Physics,2022,2005-12-19
Kaitlyn,Deleon,2914082238,2.15,Mathematics,2014,2005-12-17
Kenneth,Haley,2967255362,2.57,Psychology,2017,2005-12-10
Chelsey,Riley,1981822286,2.01,Agricultural Engineering,2013,2005-12-08
Geoffrey,Coleman,1713598809,2.65,Biology,2014,2005-12-08
John,Hill,1267943267,2.87,Biology,2022,2005-12-07
Marcus,Guerrero,2472336241,2.81,Sociology,2010,2005-12-05
Denise,Larsen,2073705148,1.14,Chemical Engineering,2015,2005-12-02
Spencer,Morales,2829053746,3.84,History,2020,2005-11-28
Melvin,Anderson,2168696225,1.91,Agricultural Engineering,2010,2005-11-27
Brandon,Wilson,2160906205,2.63,Architecture,2018,2005-11-25
Miguel,Ochoa,2206026961,3.25,Literature,2014,2005-11-23
Joel,Young,1911034185,2.85,Psychology,2019,2005-11-23
Patrick,Robinson,2863023354,3.22,Maritime Studies,2011,2005-11-20
Christopher,Webb,1527700249,3.79,Sociology,2012,2005-11-20
Brett,Patrick,2980419838,2.81,Maritime Studies,2018,2005-11-19
April,Johnson,1047166589,2.46,Mechanical Engineering,2019,2005-11-19
Kristopher,Freeman,1031448775,1.24,Environmental Engineering,2011,2005-11-19
Tonya,Lee,1115637664,3.16,Agricultural Engineering,2020,2005-11-18
Heidi,Lopez,1745730923,3.15,Chemistry,2017,2005-11-17
Richard,Wagner,2957283598,1.04,History,2019,2005-11-16
Melissa,Bird,1000900399,3.88,Agricultural Engineering,2021,2005-11-09
Michael,Blake,1672793948,2.12,Mechanical Engineering,2015,2005-11-08
David,Sanders,1499765270,2.83,Mathematics,2015,2005-11-08
Lacey,Dawson,2168338331,1.09,Literature,2014,2005-11-07
Jonathan,Turner,1650094554,1.34,Biology,2016,2005-11-03
Stephanie,Michael,1997515817,1.73,Agricultural Engineering,2014,2005-11-02
Justin,Morrow,2538593593,2.01,Psychology,2014,2005-10-26
Adam,Clark,2542094451,2.12,Tourism,2022,2005-10-25
Jason,Nelson,1970332573,3.71,Tourism,2011,2005-10-25
Laura,Porter,1786687769,2.64,Food Engineering,2015,2005-10-23
Drew,Fisher,2712794783,3.74,Computer Engineering,2021,2005-10-21
Karen,Manning,1641962916,3.84,Chemistry,2019,2005-10-20
Brittany,Meyers,2950504487,3.23,Mathematics,2021,2005-10-19
Cristian,Long,1331478129,1.79,History,2011,2005-10-19
Brett,Miles,2891247736,1.36,Sociology,2011,2005-10-17
Alexander,Ramos,2988298316,2.24,Sociology,2011,2005-10-12
Robert,Drake,2361362382,3.3,History,2019,2005-10-08
Lisa,Thomas,2545551404,3.01,Biology,2013,2005-10-08
Rachel,Newman,2182516263,2.0,Literature,2017,2005-10-08
Kenneth,Boyd,2889206001,1.62,Law,2012,2005-10-06
Troy,Wilcox,1261857420,3.09,Chemical Engineering,2020,2005-09-28
Brittany,Williams,2745776794,1.25,Environmental Engineering,2013,2005-09-24
Crystal,Mills,1715538885,1.02,Industrial Engineering,2013,2005-09-21
Margaret,Archer,2660011443,3.91,Chemistry,2019,2005-09-20
Gabriel,Cooper,1807208659,3.37,Civil Engineering,2015,2005-09-16
James,Martinez,2825503375,2.27,History,2022,2005-09-14
Aaron,Roberts,1814407226,1.46,Mechanical Engineering,2013,2005-09-13
Timothy,Nguyen,2542187114,3.68,Chemical Engineering,2013,2005-09-13
Charles,Campbell,2128513736,2.88,Architecture,2017,2005-09-12
John,Reyes,2677124207,2.36,Tourism,2017,2005-09-12
Brendan,Flowers,1725370954,2.97,Literature,2012,2005-09-12
David,Manning,2102311775,3.96,Law,2019,2005-09-08
Jaclyn,Smith,1656812356,2.73,Agricultural Engineering,2013,2005-09-07
Philip,Freeman,2403598060,1.58,Literature,2012,2005-09-06
Sarah,Rowe,2379297105,2.15,Food Engineering,2010,2005-09-03
Kevin,Morgan,2191540363,1.56,Psychology,2020,2005-09-01
Melissa,Burton,1691075017,2.1,Electrical and Electronics Engineering,2011,2005-08-28
Angela,Davis,2753020605,2.21,Biology,2017,2005-08-28
Kyle,Price,2645971328,2.06,Chemistry,2010,2005-08-27
Joel,Roberts,1338367602,3.58,Architecture,2013,2005-08-27
Jeffrey,Smith,2548900718,3.5,Chemical Engineering,2020,2005-08-27
Amanda,Boone,2867222444,2.13,Environmental Engineering,2016,2005-08-26
Kurt,Davenport,2497359833,1.26,Maritime Studies,2019,2005-08-25
Jonathan,Cuevas,1110785112,2.03,Maritime Studies,2016,2005-08-24
Jason,Villarreal,1350442064,2.53,Biology,2014,2005-08-23
Leah,Lane,2129733216,3.66,Industrial Engineering,2019,2005-08-23
Carol,Hughes,2165819554,3.64,Biology,2015,2005-08-19
Natalie,Turner,2435321578,3.26,Electrical and Electronics Engineering,2015,2005-08-19
Gregory,Hunter,2983292415,1.25,Food Engineering,2012,2005-08-18
Jose,Lane,1818949812,2.09,Food Engineering,2014,2005-08-14
Angela,Kim,1339033215,1.15,Maritime Studies,2019,2005-08-11
Beverly,Lynn,2479450360,3.96,Chemical Engineering,2018,2005-08-10
John,Randolph,2928486135,2.52,Sociology,2019,2005-08-10
William,Arnold,1454715080,1.17,Architecture,2019,2005-08-10
Nathan,Hensley,1057842226,3.78,Civil Engineering,2012,2005-08-09
John,Peterson,2892212708,1.79,Physics,2021,2005-08-08
Jessica,Bautista,2249302105,2.85,Agricultural Engineering,2017,2005-08-06
Kaitlyn,Jordan,2389470255,3.14,Business Administration,2021,2005-08-03
Rhonda,Reeves,1937319341,2.29,Chemistry,2012,2005-08-02
Charles,Sutton,1146807215,2.58,Environmental Engineering,2018,2005-07-28
Veronica,Garrett,1474640540,1.05,Mathematics,2013,2005-07-25
Matthew,Bennett,1007989537,3.03,Mathematics,2016,2005-07-24
Curtis,Schmidt,1839984888,1.55,Chemical Engineering,2016,2005-07-21
Amy,Garrison,2693064336,2.45,Agricultural Engineering,2019,2005-07-18
Roberto,Harris,1336043357,3.26,Mathematics,2019,2005-07-16
Gary,Johnson,2070248964,1.51,Electrical and Electronics Engineering,2015,2005-07-13
Larry,Franklin,1528751130,1.28,Biology,2017,2005-07-12
Rachel,Myers,2396805651,3.25,Psychology,2015,2005-07-11
Brittany,Hernandez,1153209810,3.21,Maritime Studies,2011,2005-07-11
Jessica,Lam,1409240875,3.8,Civil Engineering,2021,2005-07-08
Cynthia,Kelley,2500082632,3.74,Agricultural Engineering,2022,2005-07-08
Margaret,Watson,1733431148,2.79,Business Administration,2010,2005-07-07
Jay,Cox,1341852726,1.34,Tourism,2012,2005-07-06
Linda,Wilson,2911616980,3.03,Biology,2010,2005-07-05
Nicole,Hall,2642831462,3.52,Electrical and Electronics Engineering,2021,2005-07-05
Melissa,Robinson,1878802473,1.85,History,2010,2005-07-02
Craig,Rivera,1333350546,1.15,Food Engineering,2017,2005-06-28
Rebecca,Vasquez,2039149526,3.68,Literature,2018,2005-06-27
Richard,Newton,2799153011,3.22,Agricultural Engineering,2016,2005-06-26
Brittany,Evans,2850669578,3.46,Mathematics,2022,2005-06-26
Margaret,Patrick,2715178265,2.84,Law,2021,2005-06-24
Dennis,Parsons,1486683419,3.96,Biology,2014,2005-06-20
Eric,Vargas,1657576083,2.82,History,2018,2005-06-17
Sheena,Jones,2058057439,1.18,Business Administration,2014,2005-06-17
Steven,Mcclure,1069986081,2.51,Business Administration,2015,2005-06-16
Brandon,Kennedy,1096850178,2.19,History,2015,2005-06-15
Carolyn,Jones,2334732738,1.59,Computer Engineering,2018,2005-06-14
Matthew,Smith,1199523444,2.23,Mechanical Engineering,2019,2005-06-09
Sean,Cruz,1297003149,2.76,Industrial Engineering,2010,2005-06-06
Miguel,Nichols,2412909256,2.88,Environmental Engineering,2014,2005-05-27
Felicia,White,1190929757,1.1,Architecture,2011,2005-05-24
Peter,Benson,2484623131,1.79,Mechanical Engineering,2022,2005-05-23
Anthony,Ford,1199576056,3.0,Business Administration,2010,2005-05-22
Connie,Wade,2304446071,3.31,Food Engineering,2018,2005-05-15
Jared,Mitchell,2011698121,1.13,Food Engineering,2014,2005-05-14
Joseph,Drake,2687235153,1.74,Tourism,2011,2005-05-13
Kyle,Wilson,2404821238,3.39,History,2012,2005-05-12
Brett,Peterson,1738734000,2.62,Maritime Studies,2015,2005-05-09
Veronica,Martin,2090422134,3.74,Business Administration,2016,2005-04-24
Daniel,Morales,1480338876,1.15,Mechanical Engineering,2012,2005-04-23
David,Reed,2277233800,1.62,Mechanical Engineering,2014,2005-04-20
Matthew,Farley,1496308525,1.64,History,2022,2005-04-18
Dawn,King,1411587655,1.17,Mathematics,2012,2005-04-17
April,Graham,1551740773,2.92,Civil Engineering,2020,2005-04-17
Katrina,James,1571478563,2.18,Mathematics,2014,2005-04-14
Pamela,Miller,1651602691,2.2,Civil Engineering,2016,2005-04-12
Danielle,Garcia,2664840803,1.43,History,2020,2005-04-12
Michelle,Walters,1745889779,2.95,Business Administration,2014,2005-04-08
Maria,Campbell,2662850383,3.72,Literature,2010,2005-04-07
Tyler,Jackson,1570967665,2.04,Food Engineering,2012,2005-04-07
Pamela,Wood,1006021963,1.2,Architecture,2016,2005-04-05
Wanda,Sullivan,2204103662,3.6,Maritime Studies,2012,2005-04-02
Nicole,Campos,2736571993,2.36,Business Administration,2013,2005-03-27
Susan,Cox,1537019662,3.14,Psychology,2022,2005-03-23
Stephanie,Larson,1862563689,1.61,Architecture,2014,2005-03-22
Timothy,Frost,1178493334,3.09,Business Administration,2022,2005-03-20
Samuel,Huang,2902413063,1.29,Civil Engineering,2016,2005-03-20
Dwayne,Rollins,1326149058,1.37,Psychology,2017,2005-03-20
Ashley,Ramirez,1123665588,3.16,Food Engineering,2022,2005-03-19
Cameron,Price,1215646204,3.44,Sociology,2014,2005-03-19
Kenneth,Blevins,2136515882,3.87,Biology,2016,2005-03-17
Shawn,Summers,1362099365,3.75,Tourism,2020,2005-03-15
Stephanie,Mitchell,1282744825,2.93,Literature,2013,2005-03-14
Gloria,Lopez,1439510738,2.8,Electrical and Electronics Engineering,2016,2005-03-13
Reginald,Wright,2231386148,3.31,Biology,2019,2005-03-10
Lori,Love,1878398364,1.94,Mechanical Engineering,2013,2005-03-08
Michelle,Vasquez,1287464772,2.81,Literature,2010,2005-03-08
Oscar,Rollins,2813148397,2.04,Environmental Engineering,2012,2005-03-07
Adam,Ruiz,2598216605,2.32,Mechanical Engineering,2017,2005-03-04
Shane,Hess,1689413195,2.58,Maritime Studies,2021,2005-03-03
Jessica,Smith,1078558033,1.94,Sociology,2022,2005-03-03
Robert,Flowers,2027518901,1.64,Tourism,2022,2005-03-03
Paul,Cobb,1325961867,2.95,Architecture,2017,2005-03-02
Nancy,Smith,2433541438,3.01,Chemistry,2015,2005-03-02
Courtney,Delgado,1450228591,1.34,Industrial Engineering,2016,2005-03-01
Kelsey,Miller,1807944085,3.09,Business Administration,2011,2005-02-28
Thomas,Jackson,1981519699,3.96,Food Engineering,2019,2005-02-28
Colleen,Cook,1808029087,2.65,Electrical and Electronics Engineering,2016,2005-02-27
Erika,Farrell,2489943358,2.83,Agricultural Engineering,2010,2005-02-27
Abigail,Smith,2788386148,2.96,History,2016,2005-02-27
Joshua,Knapp,2958462503,1.41,Maritime Studies,2022,2005-02-25
Matthew,Holt,1880100117,1.67,Civil Engineering,2013,2005-02-20
Chris,Thomas,2363302817,1.16,Environmental Engineering,2019,2005-02-19
Diana,Davenport,2391189295,1.02,Civil Engineering,2010,2005-02-18
Michael,Harper,2873568645,2.46,Law,2016,2005-02-16
Kelsey,Maldonado,2601128376,2.21,Chemical Engineering,2019,2005-02-16
Mark,Mason,2307913592,1.22,Maritime Studies,2021,2005-02-13
Morgan,Moss,1827990569,1.64,Maritime Studies,2022,2005-02-12
Ian,Merritt,2131191214,1.0,Electrical and Electronics Engineering,2016,2005-02-12
Barbara,Morrison,2026862838,2.6,Biology,2010,2005-02-11
Brandon,King,2025503900,1.59,Chemistry,2013,2005-02-10
Craig,Guerrero,2478582634,1.91,Psychology,2010,2005-02-09
Theresa,Harrison,2697000925,1.16,Chemical Engineering,2019,2005-02-06
Joseph,Long,2620846125,1.18,Psychology,2021,2005-02-06
Kevin,Dominguez,1620544928,1.43,Chemical Engineering,2016,2005-02-04
Mindy,Lee,1681341949,3.15,Civil Engineering,2016,2005-02-04
Laura,Ellis,2703394626,3.28,Chemical Engineering,2022,2005-02-03
Heidi,Mccarthy,1276433585,1.75,Mathematics,2020,2005-02-03
Lisa,White,1901860476,1.65,Tourism,2017,2005-02-03
Eric,Maddox,2372115092,3.05,Computer Engineering,2015,2005-02-02
Andrea,Sanchez,1557992223,1.96,Civil Engineering,2021,2005-01-28
Krystal,Krause,1053148991,3.94,Sociology,2015,2005-01-28
Christopher,King,1973715791,3.18,Biology,2017,2005-01-17
Amber,Castillo,2981326793,3.93,Chemistry,2014,2005-01-14
Craig,Brown,1142985430,2.77,Sociology,2011,2005-01-13
Kelsey,Smith,2172869382,1.8,Mechanical Engineering,2018,2005-01-13
Marc,Holmes,2016359988,2.53,Architecture,2021,2005-01-13
Wesley,Brown,2684296256,1.5,Chemical Engineering,2019,2005-01-13
Michael,Fuentes,2024715656,1.43,Biology,2018,2005-01-04
William,Mcknight,1251990714,2.7,Literature,2010,2005-01-02
Mary,Singh,2033611508,2.33,Computer Engineering,2014,2005-01-01
