Name,Surname,Student ID,GPA,Department,Enrollment Year,Date of Birth
Taylor,Galvan,2024597811,2.03,Industrial Engineering,2022,2004-05-03
Emily,Hodges,1825429510,1.66,Tourism,2022,1971-11-17
Thomas,Lawson,2361921211,2.16,Physics,2022,2002-05-16
Robert,Caldwell,2038444184,3.17,Industrial Engineering,2022,1972-06-07
Steven,Weaver,1544052313,1.22,Sociology,2022,2004-03-23
Kathleen,Bridges,1138459760,1.28,Maritime Studies,2022,1976-12-20
Rebecca,Mcguire,2384371542,1.9,Sociology,2022,1990-11-18
Kimberly,Andrade,2631004324,3.83,Industrial Engineering,2022,1951-02-02
Jeremy,Lee,2667692288,1.27,Agricultural Engineering,2022,1960-08-21
Carlos,Weber,2886536365,2.57,History,2022,2004-03-07
Ronald,Meyers,1612716722,2.08,Civil Engineering,2022,1983-06-05
Alicia,Cantu,1428482114,3.65,Computer Engineering,2022,1974-03-05
Amy,Fernandez,2810352723,1.42,Business Administration,2022,2004-03-11
Jerry,Moore,2447060499,1.43,Mechanical Engineering,2022,1972-04-04
Amber,White,2347568068,3.6,Law,2022,1971-12-14
Michael,Clark,1690005540,1.79,Mechanical Engineering,2022,1989-05-08
Isabel,Moore,1495370826,3.98,Agricultural Engineering,2022,1956-01-15
Randall,Mcneil,2973371715,2.05,Chemical Engineering,2022,1974-04-17
Amanda,Johnston,2999545333,1.36,Maritime Studies,2022,1953-12-12
James,Kaufman,1195682092,3.92,Chemistry,2022,1951-01-02
Jordan,Moreno,2884363692,3.32,Computer Engineering,2022,1969-09-09
Melissa,Mcdonald,1811450628,2.72,Psychology,2022,1980-02-20
Megan,Smith,2033091200,1.13,Mechanical Engineering,2022,2000-11-14
Kristina,Larson,2282212993,2.25,Environmental Engineering,2022,1968-08-21
Joseph,Larson,2332567534,3.63,Civil Engineering,2022,1956-02-14
Monica,Dixon,2731263117,1.41,Literature,2022,1982-06-22
Stacey,Harris,1921615450,2.71,Computer Engineering,2022,1966-05-13
Tammy,Arroyo,2629582620,2.57,Law,2022,1975-10-02
Sarah,Schneider,2180062476,1.41,Agricultural Engineering,2022,1983-05-06
Alexander,French,2238084127,3.54,Electrical and Electronics Engineering,2022,1987-08-08
Jared,Rogers,2543745120,3.82,Chemistry,2022,1950-12-06
Nathan,Young,2960587139,2.11,Industrial Engineering,2022,1993-04-16
Gabriel,Cooley,1930030426,1.41,Mechanical Engineering,2022,1960-06-13
Samantha,Clark,2320087486,1.98,Civil Engineering,2022,1975-03-15
Kelly,Mckinney,1875620863,2.89,Civil Engineering,2022,1983-10-28
Stacie,Perez,1834953281,3.82,Mechanical Engineering,2022,1994-07-28
Aaron,Rose,2344584500,2.33,Biology,2022,1953-03-26
Jesus,Marquez,1509198334,2.05,Maritime Studies,2022,1986-06-26
Courtney,Miller,2093890541,3.1,Environmental Engineering,2022,1998-01-24
Crystal,Russo,1402284617,2.95,Chemistry,2022,2001-06-22
Carolyn,Lee,2649252353,3.15,Psychology,2022,1989-11-15
Ronald,Mcmahon,2720867889,1.94,Law,2022,1956-03-27
Jason,Bridges,2309821592,1.06,Law,2022,1999-04-09
Deborah,Brown,2172402196,2.6,Chemical Engineering,2022,1978-12-16
Jacob,Avila,2008230173,3.72,Mechanical Engineering,2022,1982-02-09
Jonathan,Zimmerman,2974797892,1.63,Chemical Engineering,2022,1953-07-20
Jerry,Wolfe,2638731013,1.44,Mechanical Engineering,2022,1996-03-15
Brent,Maldonado,1826004818,1.57,Psychology,2022,1989-07-16
Stephen,Wood,2689595214,3.65,Agricultural Engineering,2022,1968-03-13
John,Walker,1022508475,1.38,Law,2022,1988-10-20
Teresa,Hardin,2933904474,3.71,Electrical and Electronics Engineering,2022,1976-12-07
Brandon,Duran,1059345751,1.68,Computer Engineering,2022,1999-01-17
Kelly,Stanton,2518479168,2.68,Chemical Engineering,2022,1992-11-26
Catherine,Marshall,1205373331,2.52,Environmental Engineering,2022,1998-06-26
George,Golden,2311013840,3.18,Maritime Studies,2022,1961-08-14
