Name,Surname,Student ID,GPA,Department,Enrollment Year,Date of Birth
Lisa,Miller,1636041322,3.02,Tourism,2017,2004-11-05
Michael,Cohen,2878371802,2.44,Tourism,2011,1979-10-14
Maria,Garner,2112234747,3.12,Tourism,2011,1965-01-11
Alyssa,Mcbride,2827589321,3.22,Tourism,2012,1998-01-19
Adam,Wallace,2599159681,2.19,Tourism,2013,1979-10-06
Andrew,Simon,2224749288,3.52,Tourism,2012,1950-03-20
Christopher,Keller,2220395587,3.4,Tourism,2017,1951-02-05
Troy,Barnes,2652793595,3.63,Tourism,2020,1995-02-10
Nicholas,Parker,2536227426,3.7,Tourism,2011,1956-12-10
Priscilla,Williams,1319696709,1.23,Tourism,2021,1970-06-24
Robert,Stein,1183233956,2.72,Tourism,2012,1992-04-01
Jose,Castillo,1963212897,3.53,Tourism,2010,1972-06-23
Hannah,Johnston,1394924360,1.24,Tourism,2022,1970-05-05
Michael,Miller,2716371120,3.36,Tourism,2017,1950-08-26
Kayla,Alvarado,2222492027,2.03,Tourism,2017,1990-07-10
Emily,Randall,1249887503,2.17,Tourism,2012,1967-02-08
Alan,Huerta,1611725131,3.14,Tourism,2012,1986-09-18
Michael,Evans,1619329716,2.18,Tourism,2018,1974-08-19
Tanya,Oliver,2049818972,1.42,Tourism,2022,1989-09-26
Alexander,Vasquez,2411781256,1.29,Tourism,2013,1989-04-17
Nicolas,Miller,1786709516,2.72,Tourism,2017,1994-01-22
Michael,Brennan,2322539627,3.13,Tourism,2015,1952-09-27
Joshua,Black,1538928345,3.72,Tourism,2012,1991-06-25
Jessica,Barnes,1915356870,1.53,Tourism,2022,1969-11-07
Elizabeth,Edwards,1763139810,3.53,Tourism,2021,1985-04-01
Derek,Stewart,1513709869,2.03,Tourism,2014,1989-08-28
Brian,Green,2538268184,2.51,Tourism,2022,1996-07-07
Cassandra,Morris,1370032063,2.64,Tourism,2016,1968-08-14
John,Meyers,2052859312,2.32,Tourism,2013,1953-03-03
Susan,Burton,1895884834,2.7,Tourism,2011,1965-01-05
Christopher,Frazier,1370251607,1.7,Tourism,2015,2003-08-04
Timothy,White,1991765725,1.96,Tourism,2017,1975-01-02
Scott,Taylor,1312807666,1.85,Tourism,2020,1972-11-07
Nathaniel,Mayo,2738141036,2.25,Tourism,2010,1970-08-19
Derek,Cochran,1121495889,2.24,Tourism,2012,1969-12-09
Jennifer,Warren,1760017338,3.09,Tourism,2015,2001-02-02
Derek,Nelson,2528017965,3.92,Tourism,2017,1985-12-21
Kyle,Burke,1470069057,3.53,Tourism,2014,1980-04-18
Ashley,Tucker,1402713982,3.08,Tourism,2010,1969-07-25
Christine,Hobbs,1190947625,2.97,Sociology,2021,1959-04-07
Jessica,Stone,2155382532,1.0,Sociology,2014,1973-04-25
Alexandra,Benson,1246122330,3.28,Sociology,2010,2004-02-25
Christopher,Harris,2526213087,3.06,Sociology,2019,1993-01-24
Jeffrey,Mata,2147086974,2.89,Sociology,2020,1962-05-03
Sergio,Hammond,1717452698,3.4,Sociology,2012,1986-09-27
Toni,James,1771828821,1.36,Sociology,2015,1956-01-13
Eric,Mueller,1414510552,1.11,Sociology,2019,1976-06-05
Caleb,Dominguez,1825315534,2.12,Sociology,2021,1994-08-28
Donna,Murphy,1683757503,2.89,Sociology,2021,1992-12-18
Jose,Patterson,2251608091,2.92,Sociology,2017,1994-05-14
